Signature	Cell type	Annotation	Pvalue	FDR
Disease-activity	TEMRA CD8	Pathways of neurodegeneration - multiple diseases	0.045	0.45
Disease-activity	TEMRA CD8	Salmonella infection	0.048	0.46
Disease-activity	NK	Cell cycle	1.1e-09	3.6e-07
Disease-activity	NK	Coronavirus disease - COVID-19	1.1e-06	0.00017
Disease-activity	NK	Hepatitis C	3.3e-06	0.00035
Disease-activity	NK	DNA replication	5.3e-06	0.00042
Disease-activity	NK	p53 signaling pathway	2.4e-05	0.0015
Disease-activity	NK	Ribosome	0.00011	0.006
Disease-activity	NK	Influenza A	0.00025	0.012
Disease-activity	NK	Epstein-Barr virus infection	0.00067	0.024
Disease-activity	NK	Fanconi anemia pathway	0.00069	0.024
Disease-activity	NK	Mitophagy - animal	0.00091	0.029
Disease-activity	NK	Homologous recombination	0.0013	0.039
Disease-activity	NK	Measles	0.0017	0.044
Disease-activity	NK	Oocyte meiosis	0.0018	0.044
Disease-activity	NK	MicroRNAs in cancer	0.0024	0.054
Disease-activity	NK	Hepatitis B	0.0028	0.06
Disease-activity	NK	Melanoma	0.0048	0.097
Disease-activity	NK	Bladder cancer	0.0075	0.14
Disease-activity	NK	Glioma	0.0088	0.16
Disease-activity	NK	Cellular senescence	0.0096	0.16
Disease-activity	NK	Viral carcinogenesis	0.0099	0.16
Disease-activity	NK	One carbon pool by folate	0.013	0.2
Disease-activity	NK	Kaposi sarcoma-associated herpesvirus infection	0.014	0.21
Disease-activity	NK	Citrate cycle (TCA cycle)	0.015	0.21
Disease-activity	NK	Non-small cell lung cancer	0.017	0.22
Disease-activity	NK	Apoptosis	0.018	0.23
Disease-activity	NK	Gap junction	0.019	0.24
Disease-activity	NK	Necroptosis	0.022	0.27
Disease-activity	NK	Platinum drug resistance	0.027	0.29
Disease-activity	NK	Pathogenic Escherichia coli infection	0.027	0.29
Disease-activity	NK	Human papillomavirus infection	0.031	0.33
Disease-activity	NK	Pancreatic cancer	0.032	0.33
Disease-activity	NK	Base excision repair	0.035	0.33
Disease-activity	NK	Thyroid cancer	0.035	0.33
Disease-activity	NK	Drug metabolism - other enzymes	0.035	0.33
Disease-activity	NK	Biosynthesis of amino acids	0.038	0.35
Disease-activity	NK	Proteasome	0.043	0.37
Disease-activity	NK	RIG-I-like receptor signaling pathway	0.045	0.37
Disease-activity	NK	Breast cancer	0.045	0.37
Disease-activity	NK	Glutathione metabolism	0.047	0.37
Disease-activity	NK	mRNA surveillance pathway	0.047	0.37
Disease-activity	NK	Human immunodeficiency virus 1 infection	0.048	0.37
Disease-activity	NK	Pyrimidine metabolism	0.048	0.37
Disease-activity	NK	Prolactin signaling pathway	0.049	0.37
Disease-activity	Naive B	Coronavirus disease - COVID-19	7.8e-30	2.5e-27
Disease-activity	Naive B	Ribosome	9.3e-26	1.5e-23
Disease-activity	Naive B	Influenza A	3e-07	3.2e-05
Disease-activity	Naive B	Hepatitis C	0.00054	0.043
Disease-activity	Naive B	Necroptosis	0.0016	0.1
Disease-activity	Naive B	RIG-I-like receptor signaling pathway	0.0052	0.28
Disease-activity	Naive B	Measles	0.011	0.51
Disease-activity	Naive B	Kaposi sarcoma-associated herpesvirus infection	0.013	0.51
Disease-activity	Naive B	Epstein-Barr virus infection	0.018	0.62
Disease-activity	Naive B	Ascorbate and aldarate metabolism	0.023	0.72
Disease-activity	Naive B	2-Oxocarboxylic acid metabolism	0.025	0.72
Disease-activity	Naive B	Folate biosynthesis	0.033	0.74
Disease-activity	Naive B	Citrate cycle (TCA cycle)	0.033	0.74
Disease-activity	Naive B	Arginine and proline metabolism	0.035	0.74
Disease-activity	Naive B	Salmonella infection	0.035	0.74
Disease-activity	Naive B	Bladder cancer	0.041	0.79
Disease-activity	Naive B	Retinol metabolism	0.042	0.79
Disease-activity	Naive B	Cytosolic DNA-sensing pathway	0.045	0.79
Disease-activity	Naive B	Pyruvate metabolism	0.048	0.8
Disease-activity	USM B	Coronavirus disease - COVID-19	1.1e-29	3.5e-27
Disease-activity	USM B	Ribosome	2e-22	3.1e-20
Disease-activity	USM B	Influenza A	8.1e-07	8.3e-05
Disease-activity	USM B	NOD-like receptor signaling pathway	0.00028	0.021
Disease-activity	USM B	Hepatitis C	0.00045	0.028
Disease-activity	USM B	2-Oxocarboxylic acid metabolism	0.0015	0.072
Disease-activity	USM B	Biosynthesis of amino acids	0.0017	0.072
Disease-activity	USM B	RIG-I-like receptor signaling pathway	0.0019	0.072
Disease-activity	USM B	JAK-STAT signaling pathway	0.0051	0.17
Disease-activity	USM B	Measles	0.0058	0.17
Disease-activity	USM B	Glyoxylate and dicarboxylate metabolism	0.0061	0.17
Disease-activity	USM B	HIF-1 signaling pathway	0.011	0.29
Disease-activity	USM B	Renin-angiotensin system	0.014	0.33
Disease-activity	USM B	Kaposi sarcoma-associated herpesvirus infection	0.022	0.49
Disease-activity	USM B	Necroptosis	0.028	0.58
Disease-activity	USM B	Carbon metabolism	0.031	0.61
Disease-activity	USM B	Epstein-Barr virus infection	0.039	0.7
Disease-activity	USM B	Sphingolipid metabolism	0.043	0.74
Disease-activity	SM B	Coronavirus disease - COVID-19	1.5e-30	4.8e-28
Disease-activity	SM B	Ribosome	8.9e-23	1.4e-20
Disease-activity	SM B	Influenza A	1.7e-07	1.8e-05
Disease-activity	SM B	NOD-like receptor signaling pathway	0.00095	0.075
Disease-activity	SM B	Biosynthesis of amino acids	0.0016	0.099
Disease-activity	SM B	Glycolysis / Gluconeogenesis	0.002	0.1
Disease-activity	SM B	HIF-1 signaling pathway	0.0037	0.16
Disease-activity	SM B	African trypanosomiasis	0.0042	0.16
Disease-activity	SM B	Glyoxylate and dicarboxylate metabolism	0.0055	0.19
Disease-activity	SM B	Carbon metabolism	0.0067	0.21
Disease-activity	SM B	Hepatitis C	0.0086	0.22
Disease-activity	SM B	Measles	0.0086	0.22
Disease-activity	SM B	Pyruvate metabolism	0.015	0.37
Disease-activity	SM B	Fat digestion and absorption	0.017	0.37
Disease-activity	SM B	Fructose and mannose metabolism	0.018	0.37
Disease-activity	SM B	RIG-I-like receptor signaling pathway	0.029	0.56
Disease-activity	SM B	Renin-angiotensin system	0.03	0.56
Disease-activity	SM B	JAK-STAT signaling pathway	0.043	0.73
Disease-activity	SM B	Lysine degradation	0.045	0.73
Disease-activity	SM B	Kaposi sarcoma-associated herpesvirus infection	0.047	0.73
Disease-activity	SM B	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.049	0.73
Disease-activity	DN B	Coronavirus disease - COVID-19	1.5e-37	4.2e-35
Disease-activity	DN B	Ribosome	1.9e-31	2.7e-29
Disease-activity	DN B	Influenza A	2.8e-06	0.00026
Disease-activity	DN B	Hepatitis C	0.00094	0.053
Disease-activity	DN B	Measles	0.00094	0.053
Disease-activity	DN B	2-Oxocarboxylic acid metabolism	0.0034	0.16
Disease-activity	DN B	JAK-STAT signaling pathway	0.007	0.28
Disease-activity	DN B	NOD-like receptor signaling pathway	0.0091	0.32
Disease-activity	DN B	RIG-I-like receptor signaling pathway	0.011	0.34
Disease-activity	DN B	Fat digestion and absorption	0.016	0.44
Disease-activity	DN B	Biosynthesis of amino acids	0.022	0.55
Disease-activity	DN B	Folate biosynthesis	0.026	0.6
Disease-activity	DN B	Arginine and proline metabolism	0.031	0.64
Disease-activity	DN B	Linoleic acid metabolism	0.032	0.64
Disease-activity	DN B	Bladder cancer	0.035	0.65
Disease-activity	DN B	Epstein-Barr virus infection	0.038	0.65
Disease-activity	DN B	Renin-angiotensin system	0.042	0.65
Disease-activity	DN B	Citrate cycle (TCA cycle)	0.044	0.65
Disease-activity	DN B	Arachidonic acid metabolism	0.045	0.65
Disease-activity	DN B	Kaposi sarcoma-associated herpesvirus infection	0.047	0.65
Disease-activity	DN B	HIF-1 signaling pathway	0.048	0.65
Disease-activity	Plasmablast	DNA replication	1.1e-07	3.5e-05
Disease-activity	Plasmablast	Amyotrophic lateral sclerosis	4.6e-07	7.4e-05
Disease-activity	Plasmablast	Parkinson disease	2.2e-06	0.00021
Disease-activity	Plasmablast	Cell cycle	2.6e-06	0.00021
Disease-activity	Plasmablast	Fanconi anemia pathway	1.7e-05	0.0011
Disease-activity	Plasmablast	Homologous recombination	9e-05	0.0049
Disease-activity	Plasmablast	Proteasome	0.00013	0.0061
Disease-activity	Plasmablast	Ribosome biogenesis in eukaryotes	0.00036	0.015
Disease-activity	Plasmablast	Mismatch repair	0.00047	0.017
Disease-activity	Plasmablast	Huntington disease	0.0006	0.019
Disease-activity	Plasmablast	Prion disease	0.00078	0.023
Disease-activity	Plasmablast	Pathways of neurodegeneration - multiple diseases	0.0012	0.033
Disease-activity	Plasmablast	Epstein-Barr virus infection	0.0014	0.036
Disease-activity	Plasmablast	Nucleocytoplasmic transport	0.0027	0.061
Disease-activity	Plasmablast	Thermogenesis	0.0028	0.061
Disease-activity	Plasmablast	p53 signaling pathway	0.0034	0.068
Disease-activity	Plasmablast	Measles	0.0037	0.068
Disease-activity	Plasmablast	Base excision repair	0.0038	0.068
Disease-activity	Plasmablast	Oxidative phosphorylation	0.007	0.11
Disease-activity	Plasmablast	Alzheimer disease	0.007	0.11
Disease-activity	Plasmablast	RNA degradation	0.009	0.14
Disease-activity	Plasmablast	Oocyte meiosis	0.011	0.16
Disease-activity	Plasmablast	Necroptosis	0.015	0.22
Disease-activity	Plasmablast	Mucin type O-glycan biosynthesis	0.018	0.24
Disease-activity	Plasmablast	Influenza A	0.02	0.25
Disease-activity	Plasmablast	Cellular senescence	0.02	0.25
Disease-activity	Plasmablast	Pyrimidine metabolism	0.023	0.28
Disease-activity	Plasmablast	Progesterone-mediated oocyte maturation	0.029	0.34
Disease-activity	Plasmablast	Hepatitis C	0.03	0.34
Disease-activity	Plasmablast	Apoptosis	0.032	0.34
Disease-activity	Plasmablast	Nucleotide excision repair	0.033	0.34
Disease-activity	Plasmablast	Biosynthesis of cofactors	0.036	0.37
Disease-activity	Plasmablast	Retrograde endocannabinoid signaling	0.038	0.37
Disease-activity	Plasmablast	Coronavirus disease - COVID-19	0.041	0.4
Disease-activity	Plasmablast	RIG-I-like receptor signaling pathway	0.044	0.4
Disease-activity	CL Mono	Coronavirus disease - COVID-19	9.9e-15	3.2e-12
Disease-activity	CL Mono	Ribosome	4.1e-08	6.7e-06
Disease-activity	CL Mono	Influenza A	2e-07	2.2e-05
Disease-activity	CL Mono	Tuberculosis	1.2e-06	9.8e-05
Disease-activity	CL Mono	Leishmaniasis	6.5e-06	0.00042
Disease-activity	CL Mono	Staphylococcus aureus infection	3.6e-05	0.002
Disease-activity	CL Mono	NOD-like receptor signaling pathway	7.9e-05	0.0036
Disease-activity	CL Mono	Asthma	0.00048	0.017
Disease-activity	CL Mono	Lipid and atherosclerosis	0.00054	0.017
Disease-activity	CL Mono	Necroptosis	0.00056	0.017
Disease-activity	CL Mono	Pertussis	0.00058	0.017
Disease-activity	CL Mono	Phagosome	0.00071	0.019
Disease-activity	CL Mono	Antigen processing and presentation	0.0015	0.038
Disease-activity	CL Mono	Toxoplasmosis	0.0016	0.038
Disease-activity	CL Mono	Type I diabetes mellitus	0.0021	0.044
Disease-activity	CL Mono	Rheumatoid arthritis	0.0022	0.044
Disease-activity	CL Mono	Hepatitis C	0.0025	0.048
Disease-activity	CL Mono	Systemic lupus erythematosus	0.003	0.055
Disease-activity	CL Mono	Epstein-Barr virus infection	0.0049	0.082
Disease-activity	CL Mono	Human immunodeficiency virus 1 infection	0.0051	0.082
Disease-activity	CL Mono	Legionellosis	0.0067	0.099
Disease-activity	CL Mono	Osteoclast differentiation	0.0067	0.099
Disease-activity	CL Mono	IL-17 signaling pathway	0.0092	0.13
Disease-activity	CL Mono	Pentose and glucuronate interconversions	0.01	0.14
Disease-activity	CL Mono	Inflammatory bowel disease	0.011	0.15
Disease-activity	CL Mono	Salmonella infection	0.012	0.15
Disease-activity	CL Mono	Human cytomegalovirus infection	0.014	0.16
Disease-activity	CL Mono	Neutrophil extracellular trap formation	0.014	0.16
Disease-activity	CL Mono	Kaposi sarcoma-associated herpesvirus infection	0.014	0.16
Disease-activity	CL Mono	Acute myeloid leukemia	0.014	0.16
Disease-activity	CL Mono	Allograft rejection	0.019	0.2
Disease-activity	CL Mono	Graft-versus-host disease	0.019	0.2
Disease-activity	CL Mono	Estrogen signaling pathway	0.02	0.2
Disease-activity	CL Mono	RIG-I-like receptor signaling pathway	0.023	0.21
Disease-activity	CL Mono	Shigellosis	0.023	0.21
Disease-activity	CL Mono	Hepatitis B	0.024	0.22
Disease-activity	CL Mono	2-Oxocarboxylic acid metabolism	0.03	0.25
Disease-activity	CL Mono	JAK-STAT signaling pathway	0.03	0.25
Disease-activity	CL Mono	Hematopoietic cell lineage	0.031	0.26
Disease-activity	CL Mono	DNA replication	0.035	0.28
Disease-activity	CL Mono	Cytosolic DNA-sensing pathway	0.036	0.28
Disease-activity	CL Mono	Pathogenic Escherichia coli infection	0.038	0.29
Disease-activity	CL Mono	Amoebiasis	0.039	0.29
Disease-activity	CL Mono	Toll-like receptor signaling pathway	0.042	0.29
Disease-activity	CL Mono	Citrate cycle (TCA cycle)	0.042	0.29
Disease-activity	CL Mono	Viral myocarditis	0.044	0.29
Disease-activity	CL Mono	Autoimmune thyroid disease	0.044	0.29
Disease-activity	CL Mono	Salivary secretion	0.045	0.29
Disease-activity	CL Mono	C-type lectin receptor signaling pathway	0.045	0.29
Disease-activity	CL Mono	Folate biosynthesis	0.045	0.29
Disease-activity	CD16p Mono	Coronavirus disease - COVID-19	1.4e-19	4.6e-17
Disease-activity	CD16p Mono	Ribosome	2.7e-12	4.5e-10
Disease-activity	CD16p Mono	Neutrophil extracellular trap formation	0.00037	0.04
Disease-activity	CD16p Mono	Systemic lupus erythematosus	0.00068	0.051
Disease-activity	CD16p Mono	Necroptosis	0.00079	0.051
Disease-activity	CD16p Mono	Alcoholism	0.004	0.2
Disease-activity	CD16p Mono	Staphylococcus aureus infection	0.0045	0.2
Disease-activity	CD16p Mono	Influenza A	0.0049	0.2
Disease-activity	CD16p Mono	Lysosome	0.01	0.36
Disease-activity	CD16p Mono	Thyroid cancer	0.012	0.38
Disease-activity	CD16p Mono	Hepatitis C	0.026	0.67
Disease-activity	CD16p Mono	Viral carcinogenesis	0.027	0.67
Disease-activity	CD16p Mono	Cytosolic DNA-sensing pathway	0.027	0.67
Disease-activity	CD16p Mono	Glycosaminoglycan degradation	0.029	0.67
Disease-activity	CD16p Mono	NOD-like receptor signaling pathway	0.031	0.67
Disease-activity	CD16p Mono	Pancreatic secretion	0.034	0.69
Disease-activity	CD16p Mono	Carbon metabolism	0.04	0.76
Disease-activity	CD16p Mono	Human cytomegalovirus infection	0.045	0.81
Disease-activity	CD16p Mono	Transcriptional misregulation in cancer	0.048	0.83
Disease-activity	Int Mono	Coronavirus disease - COVID-19	5.8e-28	1.9e-25
Disease-activity	Int Mono	Ribosome	7e-21	1.1e-18
Disease-activity	Int Mono	Systemic lupus erythematosus	8.9e-08	9.5e-06
Disease-activity	Int Mono	Influenza A	2.3e-05	0.0018
Disease-activity	Int Mono	Neutrophil extracellular trap formation	4.3e-05	0.0028
Disease-activity	Int Mono	Staphylococcus aureus infection	0.00071	0.038
Disease-activity	Int Mono	Necroptosis	0.0014	0.066
Disease-activity	Int Mono	Alcoholism	0.004	0.16
Disease-activity	Int Mono	Cytosolic DNA-sensing pathway	0.0089	0.3
Disease-activity	Int Mono	Aminoacyl-tRNA biosynthesis	0.0094	0.3
Disease-activity	Int Mono	Nucleotide excision repair	0.016	0.47
Disease-activity	Int Mono	RNA degradation	0.019	0.51
Disease-activity	Int Mono	Porphyrin and chlorophyll metabolism	0.023	0.58
Disease-activity	Int Mono	Glycosphingolipid biosynthesis - ganglio series	0.039	0.78
Disease-activity	Int Mono	Non-homologous end-joining	0.039	0.78
Disease-activity	Int Mono	Hepatitis C	0.041	0.78
Disease-activity	Int Mono	Other glycan degradation	0.041	0.78
Disease-activity	Int Mono	HIF-1 signaling pathway	0.05	0.89
Disease-activity	NC Mono	Coronavirus disease - COVID-19	4.9e-21	1.6e-18
Disease-activity	NC Mono	Ribosome	2.6e-15	4.3e-13
Disease-activity	NC Mono	Systemic lupus erythematosus	4e-06	0.00043
Disease-activity	NC Mono	Neutrophil extracellular trap formation	0.00024	0.016
Disease-activity	NC Mono	Necroptosis	0.00025	0.016
Disease-activity	NC Mono	Influenza A	0.0003	0.016
Disease-activity	NC Mono	Alcoholism	0.00057	0.027
Disease-activity	NC Mono	RNA degradation	0.0022	0.09
Disease-activity	NC Mono	NOD-like receptor signaling pathway	0.0041	0.14
Disease-activity	NC Mono	Pertussis	0.0043	0.14
Disease-activity	NC Mono	Non-homologous end-joining	0.005	0.15
Disease-activity	NC Mono	Folate biosynthesis	0.009	0.24
Disease-activity	NC Mono	Aminoacyl-tRNA biosynthesis	0.0099	0.25
Disease-activity	NC Mono	Cytosolic DNA-sensing pathway	0.011	0.25
Disease-activity	NC Mono	Nucleotide excision repair	0.013	0.28
Disease-activity	NC Mono	Circadian rhythm	0.015	0.3
Disease-activity	NC Mono	Staphylococcus aureus infection	0.017	0.3
Disease-activity	NC Mono	Viral carcinogenesis	0.017	0.3
Disease-activity	NC Mono	Chronic myeloid leukemia	0.018	0.3
Disease-activity	NC Mono	Glyoxylate and dicarboxylate metabolism	0.023	0.37
Disease-activity	NC Mono	RIG-I-like receptor signaling pathway	0.026	0.39
Disease-activity	NC Mono	Hepatitis C	0.027	0.4
Disease-activity	NC Mono	Carbon metabolism	0.037	0.51
Disease-activity	NC Mono	Lysosome	0.038	0.51
Disease-activity	NC Mono	Hepatitis B	0.039	0.51
Disease-activity	NC Mono	HIF-1 signaling pathway	0.043	0.54
Disease-activity	mDC	Coronavirus disease - COVID-19	2.4e-25	7.5e-23
Disease-activity	mDC	Ribosome	1.2e-13	1.9e-11
Disease-activity	mDC	Influenza A	1.3e-06	0.00014
Disease-activity	mDC	RIG-I-like receptor signaling pathway	1.3e-05	0.00096
Disease-activity	mDC	Pertussis	1.5e-05	0.00096
Disease-activity	mDC	Kaposi sarcoma-associated herpesvirus infection	2.3e-05	0.0012
Disease-activity	mDC	Measles	4.6e-05	0.0021
Disease-activity	mDC	Hepatitis C	0.00029	0.012
Disease-activity	mDC	Legionellosis	0.00051	0.018
Disease-activity	mDC	Human immunodeficiency virus 1 infection	0.00079	0.025
Disease-activity	mDC	NOD-like receptor signaling pathway	0.0018	0.05
Disease-activity	mDC	Systemic lupus erythematosus	0.0028	0.073
Disease-activity	mDC	Shigellosis	0.0034	0.083
Disease-activity	mDC	Pathogenic Escherichia coli infection	0.0039	0.084
Disease-activity	mDC	Epstein-Barr virus infection	0.004	0.084
Disease-activity	mDC	Human cytomegalovirus infection	0.0044	0.086
Disease-activity	mDC	Hepatitis B	0.0072	0.13
Disease-activity	mDC	Toll-like receptor signaling pathway	0.0074	0.13
Disease-activity	mDC	Lipid and atherosclerosis	0.0097	0.16
Disease-activity	mDC	Natural killer cell mediated cytotoxicity	0.01	0.16
Disease-activity	mDC	Salmonella infection	0.011	0.16
Disease-activity	mDC	Staphylococcus aureus infection	0.011	0.16
Disease-activity	mDC	Epithelial cell signaling in Helicobacter pylori infection	0.012	0.16
Disease-activity	mDC	Yersinia infection	0.013	0.17
Disease-activity	mDC	JAK-STAT signaling pathway	0.017	0.22
Disease-activity	mDC	Transcriptional misregulation in cancer	0.019	0.23
Disease-activity	mDC	Arrhythmogenic right ventricular cardiomyopathy	0.021	0.23
Disease-activity	mDC	Alcoholic liver disease	0.021	0.23
Disease-activity	mDC	NF-kappa B signaling pathway	0.021	0.23
Disease-activity	mDC	Purine metabolism	0.026	0.27
Disease-activity	mDC	Bacterial invasion of epithelial cells	0.027	0.27
Disease-activity	mDC	Chemokine signaling pathway	0.028	0.27
Disease-activity	mDC	Viral carcinogenesis	0.029	0.27
Disease-activity	mDC	Necroptosis	0.029	0.27
Disease-activity	mDC	Nicotinate and nicotinamide metabolism	0.03	0.27
Disease-activity	mDC	Phototransduction	0.034	0.3
Disease-activity	mDC	Viral myocarditis	0.037	0.31
Disease-activity	mDC	Cytosolic DNA-sensing pathway	0.049	0.4
Disease-activity	mDC	Adrenergic signaling in cardiomyocytes	0.049	0.4
Disease-activity	pDC	Proteasome	1.5e-10	4.8e-08
Disease-activity	pDC	Epstein-Barr virus infection	3.8e-06	0.00036
Disease-activity	pDC	Prion disease	4.6e-06	0.00036
Disease-activity	pDC	Huntington disease	5.5e-06	0.00036
Disease-activity	pDC	Spinocerebellar ataxia	5.6e-06	0.00036
Disease-activity	pDC	Influenza A	7.7e-06	0.00041
Disease-activity	pDC	Parkinson disease	1.2e-05	0.00054
Disease-activity	pDC	Amyotrophic lateral sclerosis	3e-05	0.0012
Disease-activity	pDC	Pathways of neurodegeneration - multiple diseases	0.0001	0.0036
Disease-activity	pDC	Alzheimer disease	0.00015	0.0047
Disease-activity	pDC	Oxidative phosphorylation	0.0014	0.04
Disease-activity	pDC	Measles	0.0024	0.064
Disease-activity	pDC	RIG-I-like receptor signaling pathway	0.0028	0.068
Disease-activity	pDC	Hepatitis C	0.005	0.11
Disease-activity	pDC	Glutathione metabolism	0.0092	0.2
Disease-activity	pDC	Antigen processing and presentation	0.0099	0.2
Disease-activity	pDC	Collecting duct acid secretion	0.013	0.24
Disease-activity	pDC	NOD-like receptor signaling pathway	0.018	0.32
Disease-activity	pDC	Other types of O-glycan biosynthesis	0.019	0.33
Disease-activity	pDC	Human papillomavirus infection	0.022	0.35
Disease-activity	pDC	Type I diabetes mellitus	0.023	0.35
Disease-activity	pDC	Human cytomegalovirus infection	0.034	0.49
Disease-activity	pDC	Cellular senescence	0.036	0.49
Disease-activity	pDC	Diabetic cardiomyopathy	0.037	0.49
Disease-activity	pDC	Human immunodeficiency virus 1 infection	0.041	0.52
Disease-activity	pDC	Allograft rejection	0.044	0.52
Disease-activity	pDC	Graft-versus-host disease	0.044	0.52
Disease-activity	pDC	Retrograde endocannabinoid signaling	0.048	0.54
Disease-activity	Neu	Protein processing in endoplasmic reticulum	9.5e-06	0.0031
Disease-activity	Neu	Insulin signaling pathway	8.1e-05	0.013
Disease-activity	Neu	Autophagy - animal	0.00088	0.078
Disease-activity	Neu	Lipid and atherosclerosis	0.0011	0.078
Disease-activity	Neu	Spinocerebellar ataxia	0.0012	0.078
Disease-activity	Neu	Influenza A	0.005	0.24
Disease-activity	Neu	Glucagon signaling pathway	0.0054	0.24
Disease-activity	Neu	NOD-like receptor signaling pathway	0.0072	0.24
Disease-activity	Neu	Pathways of neurodegeneration - multiple diseases	0.0081	0.24
Disease-activity	Neu	Amyotrophic lateral sclerosis	0.0092	0.24
Disease-activity	Neu	Apoptosis - multiple species	0.0094	0.24
Disease-activity	Neu	Other glycan degradation	0.011	0.24
Disease-activity	Neu	Salmonella infection	0.011	0.24
Disease-activity	Neu	IL-17 signaling pathway	0.011	0.24
Disease-activity	Neu	Insulin resistance	0.012	0.24
Disease-activity	Neu	AMPK signaling pathway	0.013	0.24
Disease-activity	Neu	Longevity regulating pathway	0.013	0.24
Disease-activity	Neu	Fructose and mannose metabolism	0.013	0.24
Disease-activity	Neu	Long-term potentiation	0.015	0.25
Disease-activity	Neu	Shigellosis	0.016	0.25
Disease-activity	Neu	Non-homologous end-joining	0.019	0.29
Disease-activity	Neu	Epstein-Barr virus infection	0.02	0.29
Disease-activity	Neu	Inositol phosphate metabolism	0.023	0.32
Disease-activity	Neu	Amino sugar and nucleotide sugar metabolism	0.025	0.34
Disease-activity	Neu	RNA degradation	0.026	0.34
Disease-activity	Neu	Lysosome	0.03	0.34
Disease-activity	Neu	Pathogenic Escherichia coli infection	0.03	0.34
Disease-activity	Neu	RIG-I-like receptor signaling pathway	0.031	0.34
Disease-activity	Neu	Measles	0.031	0.34
Disease-activity	Neu	Choline metabolism in cancer	0.031	0.34
Disease-activity	Neu	Apoptosis	0.034	0.36
Disease-activity	Neu	Neurotrophin signaling pathway	0.035	0.36
Disease-activity	Neu	Necroptosis	0.041	0.4
Disease-activity	Neu	Alzheimer disease	0.043	0.4
Disease-activity	Neu	Nucleocytoplasmic transport	0.044	0.4
Disease-activity	Neu	Th17 cell differentiation	0.044	0.4
Disease-activity	Neu	Hepatitis B	0.047	0.41
Disease-activity	Neu	Spliceosome	0.048	0.41
Disease-activity	LDG	Parkinson disease	6.7e-05	0.011
Disease-activity	LDG	Huntington disease	9e-05	0.011
Disease-activity	LDG	Coronavirus disease - COVID-19	0.00011	0.011
Disease-activity	LDG	Pathways of neurodegeneration - multiple diseases	0.00024	0.014
Disease-activity	LDG	Pertussis	0.00027	0.014
Disease-activity	LDG	Insulin signaling pathway	0.00028	0.014
Disease-activity	LDG	Autophagy - animal	0.00046	0.019
Disease-activity	LDG	Alcoholism	0.00048	0.019
Disease-activity	LDG	Protein processing in endoplasmic reticulum	0.0015	0.043
Disease-activity	LDG	Prion disease	0.0015	0.043
Disease-activity	LDG	Necroptosis	0.0015	0.043
Disease-activity	LDG	Hepatitis C	0.0023	0.059
Disease-activity	LDG	Amyotrophic lateral sclerosis	0.0029	0.07
Disease-activity	LDG	NOD-like receptor signaling pathway	0.0033	0.072
Disease-activity	LDG	Lysosome	0.0035	0.072
Disease-activity	LDG	Pentose phosphate pathway	0.0039	0.076
Disease-activity	LDG	Influenza A	0.0044	0.08
Disease-activity	LDG	Chemical carcinogenesis - reactive oxygen species	0.0048	0.082
Disease-activity	LDG	Choline metabolism in cancer	0.0051	0.084
Disease-activity	LDG	Salmonella infection	0.0057	0.088
Disease-activity	LDG	Neurotrophin signaling pathway	0.008	0.12
Disease-activity	LDG	Mitophagy - animal	0.0085	0.12
Disease-activity	LDG	RIG-I-like receptor signaling pathway	0.0087	0.12
Disease-activity	LDG	Insulin resistance	0.0092	0.12
Disease-activity	LDG	Viral carcinogenesis	0.0099	0.12
Disease-activity	LDG	Thermogenesis	0.011	0.13
Disease-activity	LDG	Other glycan degradation	0.011	0.13
Disease-activity	LDG	Inositol phosphate metabolism	0.013	0.15
Disease-activity	LDG	Measles	0.015	0.16
Disease-activity	LDG	Alzheimer disease	0.019	0.2
Disease-activity	LDG	Glioma	0.02	0.2
Disease-activity	LDG	Apoptosis	0.023	0.23
Disease-activity	LDG	Shigellosis	0.024	0.23
Disease-activity	LDG	Pathogenic Escherichia coli infection	0.026	0.23
Disease-activity	LDG	Diabetic cardiomyopathy	0.026	0.23
Disease-activity	LDG	EGFR tyrosine kinase inhibitor resistance	0.027	0.24
Disease-activity	LDG	Proteasome	0.028	0.24
Disease-activity	LDG	2-Oxocarboxylic acid metabolism	0.03	0.25
Disease-activity	LDG	C-type lectin receptor signaling pathway	0.033	0.26
Disease-activity	LDG	Long-term potentiation	0.034	0.26
Disease-activity	LDG	Various types of N-glycan biosynthesis	0.036	0.27
Disease-activity	LDG	Vibrio cholerae infection	0.037	0.27
Disease-activity	LDG	Growth hormone synthesis, secretion and action	0.037	0.27
Disease-activity	LDG	Endocytosis	0.038	0.27
Disease-activity	LDG	mTOR signaling pathway	0.039	0.27
Disease-activity	LDG	Hepatitis B	0.042	0.28
Disease-activity	LDG	Longevity regulating pathway	0.044	0.29
Disease-activity	LDG	Glycolysis / Gluconeogenesis	0.047	0.3
Disease-activity	LDG	Spinocerebellar ataxia	0.047	0.3
